,longitude,latitude,number
1,-122.23,37.88,60014001001001
2,-122.22,37.86,60014001002001
3,-122.24,37.85,60014043001007
4,-122.25,37.85,60014002001010
5,-122.25,37.85,60014002001010
6,-122.25,37.85,60014002001010
7,-122.25,37.84,60014003002005
8,-122.25,37.84,60014003002005
9,-122.26,37.84,60014003003011
10,-122.25,37.84,60014003002005
11,-122.26,37.85,60014004003006
12,-122.26,37.85,60014004003006
13,-122.26,37.85,60014004003006
14,-122.26,37.84,60014003003011
15,-122.26,37.85,60014004003006
16,-122.26,37.85,60014004003006
17,-122.27,37.85,60014239011019
18,-122.27,37.85,60014239011019
19,-122.26,37.84,60014003003011
20,-122.27,37.84,60014007003008
21,-122.27,37.85,60014239011019
22,-122.27,37.85,60014239011019
23,-122.27,37.84,60014007003008
24,-122.27,37.84,60014007003008
25,-122.27,37.84,60014007003008
26,-122.28,37.85,60014240022006
27,-122.28,37.85,60014240022006
28,-122.28,37.85,60014240022006
29,-122.28,37.84,60014009001008
30,-122.28,37.84,60014009001008
31,-122.28,37.84,60014009001008
32,-122.28,37.84,60014009001008
33,-122.27,37.84,60014007003008
34,-122.27,37.83,60014010004004
35,-122.27,37.83,60014010004004
36,-122.27,37.83,60014010004004
37,-122.27,37.83,60014010004004
38,-122.28,37.83,60014251043000
39,-122.26,37.83,60014012002005
40,-122.26,37.83,60014012002005
41,-122.26,37.83,60014012002005
42,-122.26,37.83,60014012002005
43,-122.26,37.84,60014003003011
44,-122.26,37.84,60014003003011
45,-122.26,37.83,60014012002005
46,-122.26,37.83,60014012002005
47,-122.26,37.83,60014012002005
48,-122.27,37.82,60014014001008
49,-122.26,37.82,60014035012005
50,-122.27,37.82,60014014001008
51,-122.27,37.82,60014014001008
52,-122.27,37.82,60014014001008
53,-122.27,37.82,60014014001008
54,-122.27,37.82,60014014001008
55,-122.28,37.82,60014015003002
56,-122.28,37.82,60014015003002
57,-122.28,37.82,60014015003002
58,-122.28,37.82,60014015003002
59,-122.28,37.82,60014015003002
60,-122.29,37.82,60014017003098
61,-122.29,37.83,60014251044011
62,-122.29,37.82,60014017003098
63,-122.29,37.81,60014105002029
64,-122.3,37.81,60014018002000
65,-122.3,37.81,60014018002000
66,-122.3,37.81,60014018002000
67,-122.3,37.81,60014018002000
68,-122.29,37.8,60019819001001
69,-122.3,37.81,60014018002000
70,-122.29,37.81,60014105002029
71,-122.29,37.81,60014105002029
72,-122.29,37.81,60014105002029
